sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
B-2-1	115092	108118	93.94	103966	76046	66.07	68072	59.15
B-2-2	147845	137106	92.74	132310	97167	65.72	85845	58.06
B-2-3	99619	93284	93.64	88866	62353	62.59	55273	55.48
B-3-1	7839	6568	83.79	5052	2757	35.17	2757	35.17
B-3-2	97679	89677	91.81	86168	64121	65.64	59280	60.69
B-3-3	107351	99105	92.32	95305	69283	64.54	61294	57.1
B-4-1	109460	103401	94.46	98452	69790	63.76	61074	55.8
B-4-2	95550	89647	93.82	85497	61699	64.57	54094	56.61
B-4-3	81215	75331	92.76	71272	50639	62.35	45803	56.4
B-5-1	104090	96547	92.75	91884	62677	60.21	54507	52.37
B-5-2	76555	69287	90.51	64362	40506	52.91	34196	44.67
B-5-3	106621	98845	92.71	93672	62432	58.56	51215	48.03
B-6-1	132359	124510	94.07	120333	89139	67.35	73708	55.69
B-6-2	120537	113241	93.95	108610	78207	64.88	67789	56.24
B-6-3	105201	99200	94.3	94635	66547	63.26	58568	55.67
B-7-1	117226	108295	92.38	103833	74890	63.89	67007	57.16
B-7-2	126229	114116	90.4	109483	79801	63.22	73306	58.07
B-7-3	120459	112525	93.41	108533	79942	66.36	71084	59.01
B-8-1	86083	80582	93.61	76216	51111	59.37	40007	46.47
B-8-2	81615	76837	94.15	73270	52457	64.27	46470	56.94
B-8-3	74807	70311	93.99	67133	46961	62.78	41101	54.94
B-9-1	125564	115195	91.74	111353	84090	66.97	72999	58.14
B-9-2	103392	95554	92.42	90846	61180	59.17	48175	46.59
B-9-3	98584	92403	93.73	88236	60991	61.87	53085	53.85
ExtCont	52974	49885	94.17	49443	43889	82.85	35063	66.19
MockCom	145987	135840	93.05	132655	105559	72.31	45350	31.06
PCRCont	28611	26857	93.87	26575	23708	82.86	19851	69.38
R-2-1	120701	114164	94.58	109688	79731	66.06	67456	55.89
R-2-2	73776	68629	93.02	64966	45042	61.05	39911	54.1
R-2-3	80638	75103	93.14	71692	51866	64.32	45502	56.43
R-3-1	128890	118790	92.16	114870	86354	67	74833	58.06
R-3-2	111134	105053	94.53	101413	75769	68.18	64097	57.68
R-3-3	151729	142776	94.1	138458	105253	69.37	88273	58.18
R-4-1	91326	85394	93.5	82239	61279	67.1	52570	57.56
R-4-2	118467	110382	93.18	106597	80984	68.36	66840	56.42
R-4-3	106516	100433	94.29	96479	72065	67.66	61708	57.93
R-5-1	110530	103687	93.81	99302	71634	64.81	57853	52.34
R-5-2	64984	59800	92.02	56673	40427	62.21	34795	53.54
R-5-3	140127	131067	93.53	127027	96750	69.04	78891	56.3
R-6-1	89004	83649	93.98	80011	58014	65.18	49911	56.08
R-6-2	128783	120885	93.87	116079	83502	64.84	72943	56.64
R-6-3	107217	99163	92.49	95484	69568	64.89	58645	54.7
R-7-1	74983	70871	94.52	67633	48852	65.15	41749	55.68
R-7-2	106047	99927	94.23	95960	70495	66.48	61313	57.82
R-7-3	87670	80922	92.3	77313	54794	62.5	47982	54.73
R-8-1	98209	92365	94.05	89166	64944	66.13	54801	55.8
R-8-2	68893	64644	93.83	61448	43889	63.71	38065	55.25
R-8-3	72968	68541	93.93	65592	47524	65.13	41939	57.48
R-9-1	96931	90850	93.73	87209	63379	65.39	54002	55.71
R-9-2	137509	129327	94.05	125206	93126	67.72	74735	54.35
R-9-3	89018	84342	94.75	80817	57998	65.15	49353	55.44
