"","Samples","SHANNON","SIMPSON","chao1","ACE"
"1","R_2_1",4.22924532167379,0.976008311862469,178,178
"2","R_2_2",4.15608077320311,0.972374733054311,158,158.150684931507
"3","R_2_3",4.22118069850006,0.97652080106042,159,159
"4","R_3_1",4.23853041667102,0.975700983752225,200,198.316831683168
"5","R_3_2",4.18361851497923,0.973895305695513,185.166666666667,185.157258064516
"6","R_3_3",4.21837036814588,0.973996611371623,190.666666666667,190.352380952381
"7","R_4_1",4.18763559826415,0.973653871478689,168.25,168.157894736842
"8","R_4_2",4.18720186047959,0.973715751605672,180.083333333333,180.2
"9","R_4_3",4.3088240848327,0.977780223372963,186,186
"10","R_5_1",4.17765794690325,0.973351047424745,169,169
"11","R_5_2",4.16559445188718,0.972082589382248,151,151
"12","R_5_3",4.16848696937753,0.973439111587355,182.4,182.364640883978
"13","R_6_1",4.19306323725684,0.974506408623842,160,160
"14","R_6_2",4.34588570293307,0.977130263002185,190,190
"15","R_6_3",4.21797076291929,0.975440531075283,167,167
"16","R_7_1",4.23339869027076,0.97569818839978,160,160
"17","R_7_2",4.26629957954015,0.97657118041047,171,171
"18","R_7_3",4.26606958480011,0.975968002071262,163.5,163.149122807018
"19","R_8_1",4.15568158105229,0.971591101184992,165,165.192771084337
"20","R_8_2",4.11815306156152,0.972468325873119,148,148
"21","R_8_3",4.2102192293612,0.974262393748267,166,166
"22","R_9_1",4.18516198650863,0.973191937063983,170.5,170.172727272727
"23","R_9_2",4.15787375094629,0.971180642655594,186.071428571429,186.183168316832
"24","R_9_3",4.18789555544423,0.974038874192601,161,159.30534351145
