"","Samples","SHANNON","SIMPSON","chao1","ACE"
"1","B_2_1",6.35968471046028,0.996261894286782,996.033333333333,996.153543307087
"2","B_2_2",6.51683902424529,0.997179198403852,1171.57142857143,1170.88340807175
"3","B_2_3",6.23536064803442,0.996224660194328,865.25,864.811518324607
"4","B_3_2",6.33487403108198,0.996943362195847,895.961538461538,895.771899392888
"5","B_3_3",6.31502016047339,0.996752965520192,887.2,887.310891089109
"6","B_4_1",6.33107702671102,0.996417250698784,940.026315789474,940.157813702848
"7","B_4_2",6.17434659283688,0.995675387487887,818.142857142857,817.620535714286
"8","B_4_3",6.06517109848998,0.994830326133645,744,744
"9","B_5_1",6.1322624710017,0.996395043773871,748,748
"10","B_5_3",6.0375112036706,0.995422703783936,688,688
"11","B_6_1",6.13142048737542,0.994950162351125,875.5,875.627209838586
"12","B_6_2",6.3246632780408,0.996738319712002,932.5625,931.788824979458
"13","B_6_3",6.29560501536601,0.996162921036051,899.5625,899.469101123595
"14","B_7_1",6.37839658615055,0.996891116205497,966.03125,966.157088122605
"15","B_7_2",6.46875247601155,0.996991588934037,1085.68421052632,1085.30198915009
"16","B_7_3",6.37382222870929,0.99655953229069,1036.025,1034.83448275862
"17","B_8_1",5.69939262678587,0.993463868229226,499,499
"18","B_8_2",6.13818043097331,0.996277823247331,749.45,749.485950413223
"19","B_8_3",6.05404548885356,0.995989318336753,670.5,670.32967032967
"20","B_9_1",6.33067995236049,0.996416328848045,1000.78260869565,1000.99568167798
"21","B_9_2",5.89374550714243,0.994935414505815,587.5,587.317365269461
"22","B_9_3",6.08483178705156,0.995581466886435,738.25,738.31926121372
