"","Samples","SHANNON","SIMPSON","chao1","ACE"
"1","B_2_1",4.00752350273383,0.972634363002421,131.5,131.159663865546
"2","B_2_2",4.01831881130069,0.973079839387639,136.125,136.213114754098
"3","B_2_3",3.98367835925968,0.970732354128902,128,128
"4","B_3_2",3.93984986868816,0.969115991705045,129,129
"5","B_3_3",3.94103605463588,0.969492935002648,131,131
"6","B_4_1",4.07725924559952,0.973636340584513,140,140
"7","B_4_2",4.04671954464203,0.971940698948732,131,131
"8","B_4_3",3.99920183826824,0.97155696558095,128,128
"9","B_5_1",3.94840100034159,0.970390611795114,126,126
"10","B_5_3",3.92469312493764,0.967766483680916,116,116
"11","B_6_1",3.88342295754519,0.967834005151001,129,129
"12","B_6_2",3.96864653218967,0.97086446687968,122,122.157894736842
"13","B_6_3",3.99262074309809,0.970269271777072,123,123
"14","B_7_1",4.05507705611634,0.973079947596416,136,136
"15","B_7_2",4.019946756675,0.972693940422667,136.5,135.588235294118
"16","B_7_3",4.03808628242801,0.9732313195485,138,137.348993288591
"17","B_8_1",3.69120982283239,0.955088032530131,101,101
"18","B_8_2",3.89710811780883,0.967915900187616,115.25,115.25
"19","B_8_3",3.92333143262802,0.967877967053476,116,116
"20","B_9_1",3.9564831452885,0.968538762779186,136.25,136.196428571429
"21","B_9_2",3.80035104310942,0.962734427681584,105,105
"22","B_9_3",3.89395807383561,0.965224120299726,126,126
"23","R_2_1",3.89281465573831,0.970042512042567,120,120
"24","R_2_2",3.87257215689628,0.966795709178124,115,115.153846153846
"25","R_2_3",3.8516454577132,0.967992313303684,114,114
"26","R_3_1",3.9226845051194,0.96945475230134,140.25,140.162037037037
"27","R_3_2",3.85058831022009,0.96592637810398,128.5,128.16265060241
"28","R_3_3",3.9143438592543,0.968353723616036,132.166666666667,132.1875
"29","R_4_1",3.93030265967673,0.969828914251796,121.25,121.171428571429
"30","R_4_2",3.9430721392089,0.970471641871044,128.083333333333,128.225225225225
"31","R_4_3",3.94738147007938,0.970295095155573,135,135
"32","R_5_1",3.80517897320702,0.964744057043829,113,113
"33","R_5_2",3.81679149098233,0.9607493476747,107,107
"34","R_5_3",3.85858010402873,0.967568370191141,125.125,125.186440677966
"35","R_6_1",3.88800565660675,0.968968871057432,113,113
"36","R_6_2",4.02755877695364,0.972890853017301,131,131
"37","R_6_3",3.91497516855991,0.968544368032068,119,119
"38","R_7_1",3.90736675901224,0.969382556276147,115,115
"39","R_7_2",3.94116911875498,0.970634583893231,122,122
"40","R_7_3",3.95477545436717,0.970618283607612,116.5,116.159090909091
"41","R_8_1",3.84186309901782,0.965742791815278,115,115.194444444444
"42","R_8_2",3.83545468610636,0.966147555705026,108,108
"43","R_8_3",3.90759567180452,0.96846886809761,121,121
"44","R_9_1",3.90101674937515,0.967631142946766,121.5,121.176470588235
"45","R_9_2",3.86187543248996,0.964825805149674,132.083333333333,132.2
"46","R_9_3",3.84715535231467,0.966901395168131,114,112.317757009346
