"","Samples","SHANNON","SIMPSON","chao1","ACE"
"1","B_2_1",4.00752350273383,0.972634363002421,131.5,131.159663865546
"2","B_2_2",4.01831881130069,0.973079839387639,136.125,136.213114754098
"3","B_2_3",3.98367835925968,0.970732354128902,128,128
"4","B_3_2",3.93984986868816,0.969115991705045,129,129
"5","B_3_3",3.94103605463588,0.969492935002648,131,131
"6","B_4_1",4.07725924559952,0.973636340584513,140,140
"7","B_4_2",4.04671954464203,0.971940698948732,131,131
"8","B_4_3",3.99920183826824,0.97155696558095,128,128
"9","B_5_1",3.94840100034159,0.970390611795114,126,126
"10","B_5_3",3.92469312493764,0.967766483680916,116,116
"11","B_6_1",3.88342295754519,0.967834005151001,129,129
"12","B_6_2",3.96864653218967,0.97086446687968,122,122.157894736842
"13","B_6_3",3.99262074309809,0.970269271777072,123,123
"14","B_7_1",4.05507705611634,0.973079947596416,136,136
"15","B_7_2",4.019946756675,0.972693940422667,136.5,135.588235294118
"16","B_7_3",4.03808628242801,0.9732313195485,138,137.348993288591
"17","B_8_1",3.69120982283239,0.955088032530131,101,101
"18","B_8_2",3.89710811780883,0.967915900187616,115.25,115.25
"19","B_8_3",3.92333143262802,0.967877967053476,116,116
"20","B_9_1",3.9564831452885,0.968538762779186,136.25,136.196428571429
"21","B_9_2",3.80035104310942,0.962734427681584,105,105
"22","B_9_3",3.89395807383561,0.965224120299726,126,126
