"","Samples","SHANNON","SIMPSON","chao1","ACE"
"1","R_2_1",3.89281465573831,0.970042512042567,120,120
"2","R_2_2",3.87257215689628,0.966795709178124,115,115.153846153846
"3","R_2_3",3.8516454577132,0.967992313303684,114,114
"4","R_3_1",3.9226845051194,0.96945475230134,140.25,140.162037037037
"5","R_3_2",3.85058831022009,0.96592637810398,128.5,128.16265060241
"6","R_3_3",3.9143438592543,0.968353723616036,132.166666666667,132.1875
"7","R_4_1",3.93030265967673,0.969828914251796,121.25,121.171428571429
"8","R_4_2",3.9430721392089,0.970471641871044,128.083333333333,128.225225225225
"9","R_4_3",3.94738147007938,0.970295095155573,135,135
"10","R_5_1",3.80517897320702,0.964744057043829,113,113
"11","R_5_2",3.81679149098233,0.9607493476747,107,107
"12","R_5_3",3.85858010402873,0.967568370191141,125.125,125.186440677966
"13","R_6_1",3.88800565660675,0.968968871057432,113,113
"14","R_6_2",4.02755877695364,0.972890853017301,131,131
"15","R_6_3",3.91497516855991,0.968544368032068,119,119
"16","R_7_1",3.90736675901224,0.969382556276147,115,115
"17","R_7_2",3.94116911875498,0.970634583893231,122,122
"18","R_7_3",3.95477545436717,0.970618283607612,116.5,116.159090909091
"19","R_8_1",3.84186309901782,0.965742791815278,115,115.194444444444
"20","R_8_2",3.83545468610636,0.966147555705026,108,108
"21","R_8_3",3.90759567180452,0.96846886809761,121,121
"22","R_9_1",3.90101674937515,0.967631142946766,121.5,121.176470588235
"23","R_9_2",3.86187543248996,0.964825805149674,132.083333333333,132.2
"24","R_9_3",3.84715535231467,0.966901395168131,114,112.317757009346
