"","Samples","SHANNON","SIMPSON","chao1","ACE"
"1","B_2_1",2.35477878616839,0.884306226142411,31.5,31.1777777777778
"2","B_2_2",2.30307765239606,0.873798671798726,29,29
"3","B_2_3",2.37186244912435,0.888781179727949,29,29
"4","B_3_2",2.29190274191998,0.873032723640537,27,27
"5","B_3_3",2.3168148965963,0.879127742620404,28,28
"6","B_4_1",2.37269886396946,0.886489793288191,31,31
"7","B_4_2",2.36453682907845,0.885988001233375,30,30
"8","B_4_3",2.28259434532746,0.870105606547383,29,29
"9","B_5_1",2.30104904504469,0.87240248729089,27,27
"10","B_5_3",2.28133018185069,0.876707571300554,26,26
"11","B_6_1",2.31385730203848,0.873122183350546,29,29
"12","B_6_2",2.28467332708797,0.870825131663929,30,30.2142857142857
"13","B_6_3",2.34567755438137,0.882577221398307,28,28
"14","B_7_1",2.34346493963169,0.883375477271864,30,30
"15","B_7_2",2.29591600229914,0.874020484806708,31,30.6086956521739
"16","B_7_3",2.35079537491528,0.883812237900543,31,31
"17","B_8_1",2.18570214366084,0.858291720125312,22,22
"18","B_8_2",2.24714438715159,0.866798151742531,25,25
"19","B_8_3",2.22842884719086,0.864529539997026,27,27
"20","B_9_1",2.35242454508541,0.880762082738509,31.5,31.2127659574468
"21","B_9_2",2.19822581464991,0.860592669025737,22,22
"22","B_9_3",2.27497223128044,0.866867625022976,31,31
"23","R_2_1",2.30339565604469,0.878590456731713,25,25
"24","R_2_2",2.25123371461528,0.868883426893311,23,23
"25","R_2_3",2.25394764829713,0.865049389532585,26,26
"26","R_3_1",2.37585841199482,0.88308726652058,30,30
"27","R_3_2",2.27862910763857,0.869039262205043,25,25
"28","R_3_3",2.35407272767329,0.881411698144369,27,27
"29","R_4_1",2.26505449888949,0.869112603427153,27.5,27.25
"30","R_4_2",2.25954173451605,0.862266523145366,30.125,30.2857142857143
"31","R_4_3",2.25879833405977,0.860390165090128,28,28
"32","R_5_1",2.1766481694642,0.844601363665246,26,26
"33","R_5_2",2.23721086994314,0.856006611476388,24,24
"34","R_5_3",2.24637637022137,0.861058413188684,30,30
"35","R_6_1",2.27114074127111,0.873825280457226,24,24
"36","R_6_2",2.28249374712244,0.872376406959212,29,29
"37","R_6_3",2.21270860916967,0.857700241660942,28,28
"38","R_7_1",2.25077327447921,0.866783435202109,26,26
"39","R_7_2",2.21333813800605,0.861281761529405,26,26
"40","R_7_3",2.29489540797055,0.876988314198528,29.5,29.1904761904762
"41","R_8_1",2.23037278231639,0.860791770618788,26,26
"42","R_8_2",2.25175585715699,0.8660956120256,22,22
"43","R_8_3",2.2194327101555,0.861425696378629,26,26
"44","R_9_1",2.27276210561801,0.866615075181707,24,24
"45","R_9_2",2.27178009472557,0.86696853491919,27,27
"46","R_9_3",2.15771164898736,0.850428755197769,25.5,25.1707317073171
