"","Samples","SHANNON","SIMPSON","chao1","ACE"
"1","B_2_1",2.35477878616839,0.884306226142411,31.5,31.1777777777778
"2","B_2_2",2.30307765239606,0.873798671798726,29,29
"3","B_2_3",2.37186244912435,0.888781179727949,29,29
"4","B_3_2",2.29190274191998,0.873032723640537,27,27
"5","B_3_3",2.3168148965963,0.879127742620404,28,28
"6","B_4_1",2.37269886396946,0.886489793288191,31,31
"7","B_4_2",2.36453682907845,0.885988001233375,30,30
"8","B_4_3",2.28259434532746,0.870105606547383,29,29
"9","B_5_1",2.30104904504469,0.87240248729089,27,27
"10","B_5_3",2.28133018185069,0.876707571300554,26,26
"11","B_6_1",2.31385730203848,0.873122183350546,29,29
"12","B_6_2",2.28467332708797,0.870825131663929,30,30.2142857142857
"13","B_6_3",2.34567755438137,0.882577221398307,28,28
"14","B_7_1",2.34346493963169,0.883375477271864,30,30
"15","B_7_2",2.29591600229914,0.874020484806708,31,30.6086956521739
"16","B_7_3",2.35079537491528,0.883812237900543,31,31
"17","B_8_1",2.18570214366084,0.858291720125312,22,22
"18","B_8_2",2.24714438715159,0.866798151742531,25,25
"19","B_8_3",2.22842884719086,0.864529539997026,27,27
