"","Samples","SHANNON"
"1","B_2_1",4.29015910289165
"2","B_2_2",4.32750599982867
"3","B_2_3",4.23119079215364
"4","B_3_2",4.26790956492336
"5","B_3_3",4.24417404321509
"6","B_4_1",4.36887950102955
"7","B_4_2",4.27120369928072
"8","B_4_3",4.29344879522468
"9","B_5_1",4.2566040713858
"10","B_5_3",4.16913815542332
"11","B_6_1",4.15999755427267
"12","B_6_2",4.28292601718442
"13","B_6_3",4.25183288867265
"14","B_7_1",4.32656971711102
"15","B_7_2",4.36705001773524
"16","B_7_3",4.37029563775064
"17","B_8_1",3.91434448323519
"18","B_8_2",4.20226665430288
"19","B_8_3",4.19497720005037
"20","B_9_1",4.18626467542014
"21","B_9_2",4.11750100793144
"22","B_9_3",4.14374094481006
"23","R_2_1",4.22924532167379
"24","R_2_2",4.15608077320311
"25","R_2_3",4.22118069850006
"26","R_3_1",4.23853041667102
"27","R_3_2",4.18361851497923
"28","R_3_3",4.21837036814588
"29","R_4_1",4.18763559826415
"30","R_4_2",4.18720186047959
"31","R_4_3",4.3088240848327
"32","R_5_1",4.17765794690325
"33","R_5_2",4.16559445188718
"34","R_5_3",4.16848696937753
"35","R_6_1",4.19306323725684
"36","R_6_2",4.34588570293307
"37","R_6_3",4.21797076291929
"38","R_7_1",4.23339869027076
"39","R_7_2",4.26629957954015
"40","R_7_3",4.26606958480011
"41","R_8_1",4.15568158105229
"42","R_8_2",4.11815306156152
"43","R_8_3",4.2102192293612
"44","R_9_1",4.18516198650863
"45","R_9_2",4.15787375094629
"46","R_9_3",4.18789555544423
