"","Samples","SHANNON"
"1","B_2_1",4.40223069875198
"2","B_2_2",4.57122857274248
"3","B_2_3",4.29880125279484
"4","B_3_2",4.47110248613975
"5","B_3_3",4.45700249950232
"6","B_4_1",4.39762022910046
"7","B_4_2",4.25920727862423
"8","B_4_3",4.36629210363539
"9","B_5_1",4.42498875871796
"10","B_5_3",4.25602147442264
"11","B_6_1",4.22228569271896
"12","B_6_2",4.43142887919641
"13","B_6_3",4.3061614608558
"14","B_7_1",4.50164254585771
"15","B_7_2",4.53530910741343
"16","B_7_3",4.50762485001733
"17","B_8_1",3.98420253994667
"18","B_8_2",4.36243947042244
"19","B_8_3",4.25012518479629
"20","B_9_1",4.33239557108481
"21","B_9_2",4.28016118459938
"22","B_9_3",4.22304160268399
"23","R_2_1",4.47226605312855
"24","R_2_2",4.2927199170332
"25","R_2_3",4.38154434889158
"26","R_3_1",4.38931639682803
"27","R_3_2",4.37337033460329
"28","R_3_3",4.41848046587117
"29","R_4_1",4.29492606238045
"30","R_4_2",4.24927707233437
"31","R_4_3",4.5478895096355
"32","R_5_1",4.40154896138726
"33","R_5_2",4.22599716251988
"34","R_5_3",4.33542329617752
"35","R_6_1",4.38366873729436
"36","R_6_2",4.45030461368536
"37","R_6_3",4.33986380671214
"38","R_7_1",4.30959915734387
"39","R_7_2",4.5012196568385
"40","R_7_3",4.39537013001891
"41","R_8_1",4.26900663047511
"42","R_8_2",4.21146728524316
"43","R_8_3",4.38752968370542
"44","R_9_1",4.3642701664102
"45","R_9_2",4.22384125448825
"46","R_9_3",4.37383268920518
