"","Samples","SHANNON"
"1","B_2_1",4.00752350273383
"2","B_2_2",4.01831881130069
"3","B_2_3",3.98367835925968
"4","B_3_2",3.93984986868816
"5","B_3_3",3.94103605463588
"6","B_4_1",4.07725924559952
"7","B_4_2",4.04671954464203
"8","B_4_3",3.99920183826824
"9","B_5_1",3.94840100034159
"10","B_5_3",3.92469312493764
"11","B_6_1",3.88342295754519
"12","B_6_2",3.96864653218967
"13","B_6_3",3.99262074309809
"14","B_7_1",4.05507705611634
"15","B_7_2",4.019946756675
"16","B_7_3",4.03808628242801
"17","B_8_1",3.69120982283239
"18","B_8_2",3.89710811780883
"19","B_8_3",3.92333143262802
"20","B_9_1",3.9564831452885
"21","B_9_2",3.80035104310942
"22","B_9_3",3.89395807383561
"23","R_2_1",3.89281465573831
"24","R_2_2",3.87257215689628
"25","R_2_3",3.8516454577132
"26","R_3_1",3.9226845051194
"27","R_3_2",3.85058831022009
"28","R_3_3",3.9143438592543
"29","R_4_1",3.93030265967673
"30","R_4_2",3.9430721392089
"31","R_4_3",3.94738147007938
"32","R_5_1",3.80517897320702
"33","R_5_2",3.81679149098233
"34","R_5_3",3.85858010402873
"35","R_6_1",3.88800565660675
"36","R_6_2",4.02755877695364
"37","R_6_3",3.91497516855991
"38","R_7_1",3.90736675901224
"39","R_7_2",3.94116911875498
"40","R_7_3",3.95477545436717
"41","R_8_1",3.84186309901782
"42","R_8_2",3.83545468610636
"43","R_8_3",3.90759567180452
"44","R_9_1",3.90101674937515
"45","R_9_2",3.86187543248996
"46","R_9_3",3.84715535231467
