"","Samples","SHANNON"
"1","B_2_1",2.35477878616839
"2","B_2_2",2.30307765239606
"3","B_2_3",2.37186244912435
"4","B_3_2",2.29190274191998
"5","B_3_3",2.3168148965963
"6","B_4_1",2.37269886396946
"7","B_4_2",2.36453682907845
"8","B_4_3",2.28259434532746
"9","B_5_1",2.30104904504469
"10","B_5_3",2.28133018185069
"11","B_6_1",2.31385730203848
"12","B_6_2",2.28467332708797
"13","B_6_3",2.34567755438137
"14","B_7_1",2.34346493963169
"15","B_7_2",2.29591600229914
"16","B_7_3",2.35079537491528
"17","B_8_1",2.18570214366084
"18","B_8_2",2.24714438715159
"19","B_8_3",2.22842884719086
"20","B_9_1",2.35242454508541
"21","B_9_2",2.19822581464991
"22","B_9_3",2.27497223128044
"23","R_2_1",2.30339565604469
"24","R_2_2",2.25123371461528
"25","R_2_3",2.25394764829713
"26","R_3_1",2.37585841199482
"27","R_3_2",2.27862910763857
"28","R_3_3",2.35407272767329
"29","R_4_1",2.26505449888949
"30","R_4_2",2.25954173451605
"31","R_4_3",2.25879833405977
"32","R_5_1",2.1766481694642
"33","R_5_2",2.23721086994314
"34","R_5_3",2.24637637022137
"35","R_6_1",2.27114074127111
"36","R_6_2",2.28249374712244
"37","R_6_3",2.21270860916967
"38","R_7_1",2.25077327447921
"39","R_7_2",2.21333813800605
"40","R_7_3",2.29489540797055
"41","R_8_1",2.23037278231639
"42","R_8_2",2.25175585715699
"43","R_8_3",2.2194327101555
"44","R_9_1",2.27276210561801
"45","R_9_2",2.27178009472557
"46","R_9_3",2.15771164898736
