# Constructed from biom file
#OTU ID	B-2-1	B-2-2	B-2-3	B-3-1	B-3-2	B-3-3	B-4-1	B-4-2	B-4-3	B-5-1	B-5-2	B-5-3	B-6-1	B-6-2	B-6-3	B-7-1	B-7-2	B-7-3	B-8-1	B-8-2	B-8-3	B-9-1	B-9-2	B-9-3	ExtCont	MockCom	PCRCont	R-2-1	R-2-2	R-2-3	R-3-1	R-3-2	R-3-3	R-4-1	R-4-2	R-4-3	R-5-1	R-5-2	R-5-3	R-6-1	R-6-2	R-6-3	R-7-1	R-7-2	R-7-3	R-8-1	R-8-2	R-8-3	R-9-1	R-9-2	R-9-3
a66da4804870ccb4100951322bb5140a	9410.0	13714.0	0.0	1473.0	3113.0	6011.0	14712.0	12458.0	21789.0	6.0	10110.0	14683.0	6821.0	20238.0	7404.0	7678.0	15821.0	12.0	7232.0	20534.0	18400.0	18825.0	22218.0	0.0	0.0	0.0	0.0	5288.0	6959.0	2946.0	3142.0	2869.0	1444.0	7408.0	14939.0	12494.0	17889.0	5053.0	5310.0	16448.0	20556.0	8985.0	6866.0	16331.0	6494.0	6092.0	11402.0	5973.0	7044.0	8907.0	4147.0
ef056f9050441fe469e7378e54633356	5219.0	8750.0	0.0	135.0	2253.0	6558.0	3683.0	2983.0	6782.0	15.0	2486.0	6241.0	17321.0	5946.0	5783.0	3841.0	5929.0	20.0	4777.0	7903.0	6672.0	4046.0	3686.0	0.0	0.0	0.0	0.0	8109.0	5452.0	4305.0	10326.0	3636.0	2540.0	3475.0	9610.0	5984.0	10976.0	2359.0	7659.0	11735.0	9164.0	7922.0	5229.0	6483.0	2404.0	7604.0	7301.0	4256.0	4911.0	11275.0	6403.0
6981f48d5d556d9c36aeb3ae991687f3	1612.0	1780.0	0.0	86.0	1047.0	3901.0	4393.0	2973.0	4261.0	0.0	936.0	4998.0	5045.0	8260.0	3087.0	4838.0	3451.0	8.0	2059.0	8203.0	5090.0	5100.0	5556.0	0.0	0.0	0.0	0.0	10123.0	3121.0	2665.0	4544.0	1589.0	1229.0	5314.0	5014.0	3745.0	1409.0	975.0	5312.0	4126.0	2818.0	3929.0	20925.0	2718.0	4846.0	35429.0	7485.0	7893.0	9276.0	6366.0	4322.0
a4ddb2e86d3ff3ab7b3bca1f7cffb3db	769.0	1310.0	0.0	105.0	2366.0	1098.0	640.0	1753.0	882.0	0.0	577.0	620.0	8281.0	878.0	2286.0	812.0	1248.0	0.0	501.0	511.0	3312.0	1424.0	2364.0	0.0	0.0	0.0	0.0	1735.0	1275.0	4021.0	641.0	1072.0	648.0	7142.0	2330.0	1192.0	1921.0	1170.0	1758.0	1644.0	1491.0	8267.0	1396.0	2120.0	2893.0	4093.0	1362.0	1552.0	3105.0	7283.0	9416.0
f40e3ff25786f5d82e8e5f62a2a06f83	758.0	569.0	0.0	0.0	46.0	146.0	327.0	304.0	178.0	0.0	507.0	1388.0	259.0	952.0	707.0	947.0	1124.0	0.0	422.0	758.0	438.0	613.0	726.0	0.0	0.0	0.0	0.0	495.0	1340.0	2010.0	271.0	133.0	101.0	2518.0	1798.0	625.0	827.0	2501.0	3775.0	3257.0	1211.0	9018.0	3903.0	5254.0	1506.0	1206.0	968.0	1142.0	2547.0	2168.0	3633.0
a6a9baafc55de5289ce6fa46ba8cb850	140.0	157.0	0.0	0.0	164.0	269.0	1100.0	233.0	441.0	0.0	202.0	324.0	1170.0	0.0	369.0	824.0	283.0	0.0	212.0	510.0	501.0	601.0	330.0	0.0	0.0	0.0	0.0	481.0	1237.0	2068.0	1476.0	0.0	281.0	3654.0	7655.0	0.0	395.0	2075.0	2385.0	617.0	493.0	5481.0	0.0	4150.0	725.0	3990.0	0.0	2951.0	10617.0	4727.0	0.0
4cc910fffd80e49ec788e4aa53e4de0e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1536.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1534.0	0.0	0.0	0.0	24224.0	0.0	0.0	0.0	0.0	0.0	0.0	4255.0	0.0	0.0	0.0	10881.0	0.0	0.0	0.0	18049.0
02ea369fca5e9ed8da60ee0197835b9d	283.0	912.0	0.0	22.0	325.0	574.0	719.0	1577.0	776.0	0.0	540.0	831.0	562.0	1887.0	999.0	1418.0	1284.0	0.0	100.0	879.0	238.0	114.0	6372.0	0.0	0.0	0.0	0.0	1129.0	799.0	471.0	216.0	149.0	98.0	544.0	465.0	518.0	12233.0	229.0	449.0	771.0	1836.0	344.0	843.0	1335.0	698.0	152.0	308.0	195.0	312.0	859.0	1924.0
bd8219755f21a12c8eb601d5d3e61e2d	645.0	1608.0	0.0	0.0	312.0	1249.0	286.0	224.0	417.0	0.0	184.0	437.0	4152.0	923.0	739.0	443.0	508.0	0.0	313.0	1139.0	508.0	358.0	390.0	0.0	0.0	0.0	0.0	1967.0	1260.0	517.0	2315.0	792.0	517.0	347.0	1057.0	405.0	671.0	377.0	1500.0	874.0	1145.0	526.0	604.0	471.0	161.0	1151.0	701.0	656.0	1253.0	2590.0	729.0
67dabf96b104b90db39227f7800ad87b	1153.0	2253.0	0.0	297.0	4488.0	6069.0	0.0	0.0	17.0	0.0	0.0	12.0	2350.0	136.0	977.0	59.0	99.0	0.0	0.0	16.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	2041.0	1485.0	989.0	5229.0	4993.0	1364.0	0.0	18.0	19.0	48.0	0.0	0.0	566.0	364.0	163.0	0.0	46.0	16.0	30.0	10.0	5.0	16.0	0.0	0.0
50858b70e449f0b1fd96e60f2e587ffb	3908.0	2044.0	0.0	54.0	384.0	5776.0	6.0	0.0	33.0	0.0	0.0	0.0	145.0	568.0	6400.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	1307.0	3379.0	2009.0	1094.0	2212.0	149.0	212.0	0.0	0.0	0.0	0.0	0.0	415.0	1540.0	73.0	41.0	0.0	0.0	95.0	0.0	130.0	6.0	13.0	90.0
