"","Samples","SHANNON","SIMPSON","chao1","ACE"
"1","B_2_1",4.58294034922815,0.962921800220802,1902.23333333333,1520.23916666667
"2","B_2_2",4.34753540967612,0.956241749866544,1780.31868131868,1428.60164835165
"3","B_3_2",4.17433375422825,0.937803718937955,1522.38095238095,1290.8516886931
"4","B_3_3",4.28241552222088,0.950002107295442,1570.66666666667,1286.99682371625
"5","B_4_1",4.0040358178083,0.945241359037422,1519.2538071066,1288.29261083744
"6","B_4_2",4.13419449004846,0.950632499744967,1584.73618090452,1319.17673716012
"7","B_4_3",3.60897166606588,0.909454365484244,1529.78321678322,1174.09878682842
"8","B_5_2",3.9264961974688,0.938557396012313,1359.14942528736,1147.73236009732
"9","B_5_3",3.92540510426485,0.941524985544618,1523.96126760563,1163.36458333333
"10","B_6_1",3.87715004299457,0.933044300145345,1500.1125,1204.45340194397
"11","B_6_2",3.89691939918251,0.930901482237463,1511.56441717791,1218.68907131862
"12","B_6_3",4.52931642905196,0.969757475185267,1650.875,1358.92139936393
"13","B_7_1",4.36289858437643,0.956211772373558,1597.60377358491,1377.46632124352
"14","B_7_2",4.22414336033868,0.951961950035961,1650.52307692308,1368.1414427157
"15","B_8_1",3.93565274168516,0.942451448504551,1292.71508379888,1129.26528117359
"16","B_8_2",3.56261810749936,0.914038298414708,1413.76333333333,1119.95770392749
"17","B_8_3",3.66704264180711,0.927810171400962,1317.56962025316,1084.41752265861
"18","B_9_1",4.0679462500425,0.932811427012657,1776.46511627907,1386.65476190476
"19","B_9_2",3.51247942142626,0.919971364045005,1294.52631578947,1006.41742796908
