"","Samples","SHANNON","SIMPSON","chao1","ACE"
"1","B_2_1",1.54795115227737,0.722970670498848,27,24.6
"2","B_2_2",1.75478085922492,0.778339129121496,28.5,28.6470588235294
"3","B_3_2",1.77665001619021,0.780800430730622,22,20.6
"4","B_3_3",1.69137374346994,0.773942083838767,34.25,29.6304347826087
"5","B_4_1",1.69721882534437,0.763570817273353,28,25.7391304347826
"6","B_4_2",1.81376201952335,0.792138033507148,23,21.6153846153846
"7","B_4_3",1.63113973410891,0.751574258460587,20,19.5454545454545
"8","B_5_2",1.64993926297616,0.741257324794757,29.6,29.3913043478261
"9","B_5_3",1.68264457715667,0.772026584293527,35,29.1304347826087
"10","B_6_1",1.76521985186924,0.798791484878129,32,25.5238095238095
"11","B_6_2",1.72726201200173,0.780496153461774,23,22.4615384615385
"12","B_6_3",1.77052676903096,0.781111840329661,34,27.4193548387097
"13","B_7_1",1.73191054964245,0.771134997762852,22,20.7692307692308
"14","B_7_2",1.69982071578319,0.768384278216874,35,28
"15","B_8_1",1.58527284888388,0.743088419166144,24.25,23.1538461538462
"16","B_8_2",1.65566391691165,0.772369611373154,40,25
"17","B_8_3",1.81622038327442,0.803133863528673,23.5,23.6875
"18","B_9_1",1.55096058533014,0.737765191643622,34,27.1304347826087
"19","B_9_2",1.8282149589488,0.800557243532505,30,23.25
"20","R_2_1",1.73642946329089,0.780869850470835,30,29.6666666666667
"21","R_2_2",1.8027772747571,0.793663333213812,37,31.6
"22","R_2_3",1.78402756076276,0.794947274789611,26,23.8823529411765
"23","R_3_1",1.6110028772322,0.766228342617882,20.6666666666667,20.6363636363636
"24","R_3_2",1.58435472423026,0.744544706047486,25.5,22.5
"25","R_3_3",1.24871545368901,0.574011738075043,22.25,21.6153846153846
"26","R_4_1",1.79433572397259,0.788337982556952,33,26.7391304347826
"27","R_4_2",1.60106100818107,0.767511480046571,17.25,17.2941176470588
"28","R_4_3",1.46074117079849,0.711546031442662,26.25,22.3684210526316
"29","R_5_1",1.78904241289926,0.806205520335504,22.6,24.0769230769231
"30","R_5_2",1.59676475670627,0.723752500273634,38.25,30
"31","R_5_3",1.50355346704079,0.708671549655112,36,23.1428571428571
"32","R_6_1",1.70365049067041,0.778733749510553,27.9,28.2162162162162
"33","R_6_2",1.76902683585135,0.783182149549294,34.25,29.7567567567568
"34","R_6_3",1.78753093521915,0.794178649505954,25.9,26.3846153846154
"35","R_7_1",1.41621951651422,0.667032765386365,17,17.1818181818182
"36","R_7_2",1.69606700826963,0.775874180830373,37.25,28.1612903225806
"37","R_7_3",1.61907830500089,0.742230140094986,32,25.3636363636364
"38","R_8_1",1.46697110275644,0.672052251996768,26,21.8666666666667
"39","R_8_2",1.61950849783646,0.748040525321804,26.5,22.9
"40","R_8_3",1.58558207964746,0.721267885923669,23.6666666666667,23
"41","R_9_1",1.82192848195524,0.799866203756449,42,26.5714285714286
"42","R_9_2",1.92763246520126,0.828564912068881,21,19.4848484848485
"43","R_9_3",1.67316145788804,0.745349782652953,27.5,23.9166666666667
