"","Samples","SHANNON","SIMPSON"
"1","B_2_1",1.54795115227737,0.722970670498848
"2","B_2_2",1.75478085922492,0.778339129121496
"3","B_3_2",1.77665001619021,0.780800430730622
"4","B_3_3",1.69137374346994,0.773942083838767
"5","B_4_1",1.69721882534437,0.763570817273353
"6","B_4_2",1.81376201952335,0.792138033507148
"7","B_4_3",1.63113973410891,0.751574258460587
"8","B_5_2",1.64993926297616,0.741257324794757
"9","B_5_3",1.68264457715667,0.772026584293527
"10","B_6_1",1.76521985186924,0.798791484878129
"11","B_6_2",1.72726201200173,0.780496153461774
"12","B_6_3",1.77052676903096,0.781111840329661
"13","B_7_1",1.73191054964245,0.771134997762852
"14","B_7_2",1.69982071578319,0.768384278216874
"15","B_8_1",1.58527284888388,0.743088419166144
"16","B_8_2",1.65566391691165,0.772369611373154
"17","B_8_3",1.81622038327442,0.803133863528673
"18","B_9_1",1.55096058533014,0.737765191643622
"19","B_9_2",1.8282149589488,0.800557243532505
