"","Samples","SHANNON","SIMPSON"
"1","R_2_1",0.62733696985223,0.406433105685478
"2","R_2_2",0.588804792770573,0.363576758480727
"3","R_2_3",0.622484165517452,0.412832500852788
"4","R_3_1",0.694474953362856,0.438073256867256
"5","R_3_2",0.56196358667865,0.352652260096991
"6","R_3_3",0.718140474058344,0.4846602048923
"7","R_4_1",0.620946965895427,0.391655515751213
"8","R_4_2",0.600633228653303,0.394969928124633
"9","R_4_3",0.51624370367416,0.322256115401435
"10","R_5_1",0.493861866547148,0.303894335604315
"11","R_5_2",0.714911716760903,0.474080994832921
"12","R_5_3",0.686002968903893,0.471356254437512
"13","R_6_1",0.555975546964781,0.349916566912972
"14","R_6_2",0.599532805675539,0.374562265963214
"15","R_6_3",0.563626939158974,0.366848578668835
"16","R_7_1",0.465602638751197,0.283521956983451
"17","R_7_2",0.500100892256388,0.30563744974396
"18","R_7_3",0.553997749390058,0.361407327741569
"19","R_8_1",0.493917747265209,0.28996829013674
"20","R_8_2",0.488174289003135,0.292673430342496
"21","R_8_3",0.489558185473434,0.301174219460341
"22","R_9_1",0.472201697206476,0.285259003549787
"23","R_9_2",0.621959600102033,0.37597182760228
