"","x"
"Acrospermales_fam_Incertae_sedis",1.80430081828086
"Agaricomycetes_fam_Incertae_sedis",1.27985422583367
"Ajellomycetaceae",2.33937173438982
"Amniculicolaceae",0.693147180559945
"Apiosporaceae",2.89779353682368
"Arachnomycetaceae",2.6019979174922
"Ascobolaceae",1.73970883190476
"Aspergillaceae",2.39704450745262
"Aureobasidiaceae",1.74806734854609
"Auriculariales_fam_Incertae_sedis",0.372910371605098
"Biatriosporaceae",1.05492016798614
"Bionectriaceae",1.87352963759844
"Botryosphaeriaceae",2.16395565688206
"Bulleribasidiaceae",3.52925832638118
"Chaetomiaceae",3.55192376714445
"Cladosporiaceae",3.70973854712586
"Clavicipitaceae",2.25892399454695
"Coniothyriaceae",2.47918130698628
"Cordycipitaceae",2.87645711172318
"Cucurbitariaceae",2.66897954430954
"Cunninghamellaceae",0.759547391474863
"Cyphellophoraceae",2.96572207043248
"Diaporthaceae",1.74786809746676
"Diatrypaceae",2.60212853058239
"Dictyosporiaceae",1.52342403789343
"Didymellaceae",3.2399361512238
"Didymosphaeriaceae",2.29723989448356
"Dipodascaceae",1.33217904021012
"Dissoconiaceae",0
"Dothideaceae",0
"Dothideomycetes_fam_Incertae_sedis",1.6094379124341
"Dothioraceae",0
"Eremomycetaceae",2.97855845282247
"Erysiphaceae",2.17791326921171
"Glomerellaceae",2.49149372187944
"Gymnoascaceae",2.73004235465697
"Halosphaeriaceae",1.09861228866811
"Helotiaceae",2.9519589435963
"Helotiales_fam_Incertae_sedis",2.3186036315476
"Herpotrichiellaceae",2.53936739988158
"Holtermanniales_fam_Incertae_sedis",0.867563228481461
"Hyaloscyphaceae",2.92926897106003
"Hydnodontaceae",2.92699225788989
"Hypocreaceae",1.149050525901
"Hypocreales_fam_Incertae_sedis",3.18253561072537
"Hyponectriaceae",0.40044634654414
"Kondoaceae",0
"Lasiosphaeriaceae",3.40375333369628
"Lentitheciaceae",3.49608003294894
"Leptosphaeriaceae",3.05289206814577
"Lindgomycetaceae",0.693147180559945
"Lophiostomataceae",0
"Magnaporthaceae",2.12446892611747
"Massarinaceae",2.11609425610897
"Melanommataceae",0.500402423538188
"Melanosporaceae",2.37695165554698
"Microascaceae",3.48701157351711
"Microascales_fam_Incertae_sedis",2.60079868308918
"Microdochiaceae",2.19447599554755
"Mortierellaceae",3.12485263737004
"Mucoraceae",2.37641989952186
"Mycosphaerellaceae",3.68918260845402
"Myrmecridiaceae",2.02968254748882
"Mytilinidiales_fam_Incertae_sedis",0.693147180559945
"Myxotrichaceae",3.12379489538714
"Nectriaceae",3.63005120776727
"Nectriaceae.1",1.09861228866811
"Neodevriesiaceae",1.6094379124341
"Olpidiaceae",0.693147180559945
"Onygenaceae",2.16395565688206
"Onygenales_fam_Incertae_sedis",3.45578535854589
"Ophiocordycipitaceae",2.13362892215243
"Orbiliaceae",2.64479380053349
"Periconiaceae",1.57336233365465
"Pezizaceae",1.76373469931728
"Phaeosphaeriaceae",1.78060759502101
"Phomatosporaceae",0
"Pichiaceae",2.03526035947435
"Plectosphaerellaceae",3.39544084577019
"Pleosporaceae",3.63140880182503
"Pleosporales_fam_Incertae_sedis",1.33217904021012
"Pleurotheciaceae",1.32088834314932
"Powellomycetaceae",1.38629436111989
"Psathyrellaceae",1.31174657147583
"Pseudeurotiaceae",3.46704373160235
"Pyronemataceae",0.693147180559945
"Pyxidiophoraceae",1.09861228866811
"Rhizophlyctidaceae",1.09861228866811
"Rhizopodaceae",2.36819144786268
"Rhynchogastremataceae",2.78647583527725
"Saccharomycetales_fam_Incertae_sedis",1.01140426470735
"Savoryellaceae",2.43079132887823
"Sclerotiniaceae",3.13260893778769
"Sebacinaceae",1.76719499779167
"Sordariaceae",1.95125950414396
"Sporidiobolaceae",1.6094379124341
"Sporormiaceae",2.6947539645093
"Stachybotryaceae",3.53308138554785
"Stictidaceae",0.642680507248827
"Sympoventuriaceae",2.28927296431782
"Testudinaceae",1.41848366194566
"Thelebolaceae",0
"Thelephoraceae",1.54848715207788
"Thyridariaceae",1.05983731352736
"Torulaceae",0.341981336120337
"Trematosphaeriaceae",0.638549835003109
"Trichocomaceae",2.30063461827984
"Trichosporonaceae",1.58109375017182
"Tubeufiaceae",1.43582580567885
"unidentified",3.7293986274247
"Verrucariaceae",0
"Xylariales_fam_Incertae_sedis",0.693147180559945
