"","x"
"Absidia",0.759547391474863
"Achroiostachys",1.56071040904141
"Acremonium",3.30931673298727
"Acrostalagmus",3.35405587016614
"Actinomucor",0.576057284246626
"Akenomyces",1.27985422583367
"Alternaria",3.63129107494552
"Alternaria.",2.61458943294761
"Amarenomyces",1.09861228866811
"Apiotrichum",1.58109375017182
"Arachnomyces",2.6019979174922
"Arthrinium",2.89779353682368
"Arthrobotrys",0
"Arthrographis",2.97855845282247
"Articulospora",2.41706288084357
"Ascobolus",1.73970883190476
"Aspergillus",3.28311481747632
"Aureobasidium",1.74806734854609
"Beauveria",2.60218567580825
"Biatriospora",1.05492016798614
"Bimuria",2.05865091211662
"Blumeria",2.17791326921171
"Botrytis",3.13300394260927
"Cadophora",2.31448816343668
"Camarosporium",0
"Candida",1.01140426470735
"Cercophora",1.23426786607908
"Cercospora",0.529706199057654
"Chaetomium",3.55292125197705
"Chrysosporium",3.42246964319378
"Ciboria",1.90615474653985
"Cistella",2.60177110125963
"Cladorrhinum",1.94382513262741
"Cladosporium",3.70977416904654
"Clonostachys",1.7441350695007
"Colletotrichum",2.49149372187944
"Coniothyrium",2.4491225361768
"Coprinellus",1.38629436111989
"Coprinopsis",0
"Curvularia",0.693147180559945
"Cyphellophora",2.96572207043248
"Dactylaria",1.26840941782734
"Dactylella",0.636514168294813
"Darksidea",3.48143625700259
"Diaporthe",1.74786809746676
"Dictyosporium",0.252591734908522
"Didymella",2.96842722150598
"Dissoconium",0
"Emericellopsis",2.76557038401323
"Emmonsiellopsis",2.33937173438982
"Endocarpon",0
"Endoconidioma",0
"Exophiala",2.53936739988158
"Fitzroyomyces",0
"Fusariella",2.17689378920355
"Fusarium",3.58065230639435
"Fusicolla",2.56582485423717
"Fusidium",0
"Gaeumannomyces",1.61937135558459
"Gamsia",1.6094379124341
"Gibberella",3.3389789118908
"Gibellulopsis",3.31479143674377
"Gymnoascus",2.90211055548845
"Halokirschsteiniothelia",0.693147180559945
"Hannaella",2.94906730642088
"Hansfordia",0
"Holtermanniella",0.867563228481461
"Humicola",3.21600975395837
"Ilyonectria",3.35092827975772
"Iodophanus",0.636514168294813
"Keissleriella",1.24611280949555
"Kondoa",0
"Lecanicillium",2.5498629257812
"Lectera",2.55219330701885
"Leiothecium",0.693147180559945
"Lepidosphaeria",1.41848366194566
"Leptodiscella",1.80430081828086
"Leptosphaeria",2.89349449430977
"Leptospora",0.910602614071075
"Leucosphaerina",2.38422573909443
"Leucothecium",2.71808999233347
"Libertasomyces",0.693147180559945
"Lindgomyces",0.693147180559945
"Lophiostoma",0
"Macrophomina",2.16395565688206
"Magnaporthiopsis",1.20008732276787
"Massarina",1.58902691517397
"Melanospora",2.37695165554698
"Metarhizium",2.25892399454695
"Microascus",3.48616056380206
"Microdochium",2.19241808354628
"Monocillium",2.41950063181743
"Monographella",0.40044634654414
"Monosporascus",2.60212853058239
"Montagnula",0.636514168294813
"Mortierella",3.12485263737004
"Mucor",2.705480968256
"Murispora",0.693147180559945
"Myceliophthora",2.47827705891756
"Mycosphaerella",3.68917552750464
"Myriodontium",2.16395565688206
"Myrmecridium",2.02968254748882
"Nectriopsis",1.83437197028162
"Neoascochyta",1.46580737521126
"Neodendryphiella",2.01599224153504
"Neodevriesia",1.6094379124341
"Neofitzroyomyces",0.61607912902436
"Neosetophoma",0.985212637885683
"Neostagonospora",2.42294792830347
"Neurospora",1.95125950414396
"Ochroconis",2.28927296431782
"Oidiodendron",3.12379489538714
"Oliveonia",0.372910371605098
"Olpidium",0.693147180559945
"Ophiosphaerella",2.08401876187783
"Ovatospora",0.693147180559945
"Papiliotrema",2.78647583527725
"Paraconiothyrium",0
"Paracremonium",2.07944154167984
"Paracylindrocarpon",2.01263830729656
"Paraphoma",0.736268024155726
"Pararoussoella",0.355352890658458
"Parastagonospora",1.05066527659281
"Parathyridaria",0
"Penicillium",2.11740373438882
"Periconia",1.57336233365465
"Peziza",1.41274463686385
"Phaeosphaeria",2.20804381306891
"Phoma",2.67182937503146
"Phomatospora",0
"Pichia",1.97224697942344
