"","x"
"Acrospermales",1.80430081828086
"Agaricales",1.58277752511482
"Agaricomycetes_ord_Incertae_sedis",1.27985422583367
"Agaricostilbales",0
"Auriculariales",0.372910371605098
"Botryosphaeriales",2.16395565688206
"Branch06",0.693147180559945
"Capnodiales",3.69724290818563
"Chaetothyriales",3.09162368882223
"Diaporthales",1.74786809746676
"Dothideales",2.01403552370927
"Dothideomycetes_ord_Incertae_sedis",3.06752034295462
"Erysiphales",2.17791326921171
"Eurotiales",2.40249329199585
"Glomerellales",3.39580030681398
"Helotiales",3.32046315164374
"Holtermanniales",0.867563228481461
"Hypocreales",3.66712115436545
"Magnaporthales",2.12446892611747
"Melanosporales",2.37695165554698
"Microascales",3.06952912614525
"Mortierellales",3.12485263737004
"Mucorales",2.83832916759736
"Myrmecridiales",2.02968254748882
"Mytilinidiales",0.693147180559945
"Olpidiales",0.693147180559945
"Onygenales",3.41552192707813
"Orbiliales",2.64479380053349
"Ostropales",0.642680507248827
"Pezizales",2.40767125160584
"Phomatosporales",0
"Pleosporales",3.68845611758582
"Pleurotheciales",1.32088834314932
"Pyxidiophorales",1.09861228866811
"Rhizophlyctidales",1.09861228866811
"Saccharomycetales",2.35003125698584
"Savoryellales",2.43079132887823
"Sebacinales",1.76719499779167
"Sordariales",3.59798182513601
"Spizellomycetales",1.38629436111989
"Sporidiobolales",1.6094379124341
"Thelebolales",3.46698378685526
"Thelephorales",1.54848715207788
"Trechisporales",2.92699225788989
"Tremellales",3.45965977366107
"Trichosporonales",1.58109375017182
"Tubeufiales",1.43582580567885
"unidentified",3.72892742468085
"Venturiales",2.28927296431782
"Verrucariales",0
"Xylariales",2.74940504369948
