"","Samples","SHANNON"
"1","B_2_1",0.694413292555653
"2","B_2_2",0.654978628630011
"3","B_3_2",0.591150495066125
"4","B_3_3",0.645379767676074
"5","B_4_1",0.661042025098825
"6","B_4_2",0.607333737730493
"7","B_4_3",0.518939066818043
"8","B_5_2",0.590236291202592
"9","B_5_3",0.570647670236095
"10","B_6_1",0.601803540396687
"11","B_6_2",0.556537522917414
"12","B_6_3",0.673070863606609
"13","B_7_1",0.640359591735623
"14","B_7_2",0.580633145821
"15","B_8_1",0.67554610540787
"16","B_8_2",0.500319651360807
"17","B_8_3",0.502953943582274
"18","B_9_1",0.671327647834738
"19","B_9_2",0.544038096518032
"20","R_2_1",0.62733696985223
"21","R_2_2",0.588804792770573
"22","R_2_3",0.622484165517452
"23","R_3_1",0.694474953362856
"24","R_3_2",0.56196358667865
"25","R_3_3",0.718140474058344
"26","R_4_1",0.620946965895427
"27","R_4_2",0.600633228653303
"28","R_4_3",0.51624370367416
"29","R_5_1",0.493861866547148
"30","R_5_2",0.714911716760903
"31","R_5_3",0.686002968903893
"32","R_6_1",0.555975546964781
"33","R_6_2",0.599532805675539
"34","R_6_3",0.563626939158974
"35","R_7_1",0.465602638751197
"36","R_7_2",0.500100892256388
"37","R_7_3",0.553997749390058
"38","R_8_1",0.493917747265209
"39","R_8_2",0.488174289003135
"40","R_8_3",0.489558185473434
"41","R_9_1",0.472201697206476
"42","R_9_2",0.621959600102033
"43","R_9_3",0.426263448942226
