"","Samples","SHANNON"
"1","B_2_1",1.9520851540203
"2","B_2_2",2.13815838393605
"3","B_3_2",2.25105845583469
"4","B_3_3",2.20980494655978
"5","B_4_1",1.90630174316697
"6","B_4_2",2.04019511781805
"7","B_4_3",1.87915347997823
"8","B_5_2",2.02053278510675
"9","B_5_3",1.96771884067019
"10","B_6_1",2.07941248609878
"11","B_6_2",2.02710429841376
"12","B_6_3",2.20370571970796
"13","B_7_1",1.95062327633195
"14","B_7_2",2.15894800372152
"15","B_8_1",1.79083102846367
"16","B_8_2",1.97729184014295
"17","B_8_3",2.09883810605941
"18","B_9_1",1.72907604520576
"19","B_9_2",1.98831948042488
"20","R_2_1",2.11368715543885
"21","R_2_2",2.17226903853123
"22","R_2_3",2.03583321451669
"23","R_3_1",1.98889360431293
"24","R_3_2",1.90498109160207
"25","R_3_3",1.37106829366419
"26","R_4_1",2.03916569765114
"27","R_4_2",1.76195709419846
"28","R_4_3",1.53722310972711
"29","R_5_1",1.99675875076975
"30","R_5_2",1.77239659237044
"31","R_5_3",1.69419163733065
"32","R_6_1",1.9773070216007
"33","R_6_2",2.03134054662457
"34","R_6_3",1.86186962364021
"35","R_7_1",1.81960872355679
"36","R_7_2",2.08807944106803
"37","R_7_3",1.96989979203485
"38","R_8_1",1.75064477579122
"39","R_8_2",1.81663197150037
"40","R_8_3",2.14906319489073
"41","R_9_1",1.99204686062436
"42","R_9_2",2.11406098551315
"43","R_9_3",1.92577579407245
