"","Samples","SHANNON"
"1","B_2_1",1.54795115227737
"2","B_2_2",1.75478085922492
"3","B_3_2",1.77665001619021
"4","B_3_3",1.69137374346994
"5","B_4_1",1.69721882534437
"6","B_4_2",1.81376201952335
"7","B_4_3",1.63113973410891
"8","B_5_2",1.64993926297616
"9","B_5_3",1.68264457715667
"10","B_6_1",1.76521985186924
"11","B_6_2",1.72726201200173
"12","B_6_3",1.77052676903096
"13","B_7_1",1.73191054964245
"14","B_7_2",1.69982071578319
"15","B_8_1",1.58527284888388
"16","B_8_2",1.65566391691165
"17","B_8_3",1.81622038327442
"18","B_9_1",1.55096058533014
"19","B_9_2",1.8282149589488
"20","R_2_1",1.73642946329089
"21","R_2_2",1.8027772747571
"22","R_2_3",1.78402756076276
"23","R_3_1",1.6110028772322
"24","R_3_2",1.58435472423026
"25","R_3_3",1.24871545368901
"26","R_4_1",1.79433572397259
"27","R_4_2",1.60106100818107
"28","R_4_3",1.46074117079849
"29","R_5_1",1.78904241289926
"30","R_5_2",1.59676475670627
"31","R_5_3",1.50355346704079
"32","R_6_1",1.70365049067041
"33","R_6_2",1.76902683585135
"34","R_6_3",1.78753093521915
"35","R_7_1",1.41621951651422
"36","R_7_2",1.69606700826963
"37","R_7_3",1.61907830500089
"38","R_8_1",1.46697110275644
"39","R_8_2",1.61950849783646
"40","R_8_3",1.58558207964746
"41","R_9_1",1.82192848195524
"42","R_9_2",1.92763246520126
"43","R_9_3",1.67316145788804
