"","x"
"Acrospermales_fam_Incertae_sedis",0.745762711864407
"Agaricomycetes_fam_Incertae_sedis",0.7
"Ajellomycetaceae",0.8984375
"Amniculicolaceae",0.5
"Apiosporaceae",0.926044077479619
"Arachnomycetaceae",0.881962030328941
"Ascobolaceae",0.723593964334705
"Aspergillaceae",0.817406675520079
"Aureobasidiaceae",0.78
"Auriculariales_fam_Incertae_sedis",0.149985295559259
"Biatriosporaceae",0.64
"Bionectriaceae",0.718040121253495
"Botryosphaeriaceae",0.88
"Bulleribasidiaceae",0.965683246618106
"Chaetomiaceae",0.964221313997643
"Cladosporiaceae",0.974394891466512
"Clavicipitaceae",0.819881656804734
"Coniothyriaceae",0.876237118661361
"Cordycipitaceae",0.876432324473548
"Cucurbitariaceae",0.903861165898014
"Cunninghamellaceae",0.429752066115702
"Cyphellophoraceae",0.927155662163868
"Diaporthaceae",0.816326530612245
"Diatrypaceae",0.90702479338843
"Dictyosporiaceae",0.593638446374341
"Didymellaceae",0.953091311695123
"Didymosphaeriaceae",0.842459855738979
"Dipodascaceae",0.72
"Dissoconiaceae",0
"Dothideaceae",0
"Dothideomycetes_fam_Incertae_sedis",0.8
"Dothioraceae",0
"Eremomycetaceae",0.939638600538255
"Erysiphaceae",0.86578449905482
"Glomerellaceae",0.90249433106576
"Gymnoascaceae",0.905408831955882
"Halosphaeriaceae",0.666666666666667
"Helotiaceae",0.912965660770031
"Helotiales_fam_Incertae_sedis",0.811304871766718
"Herpotrichiellaceae",0.913223140495868
"Holtermanniales_fam_Incertae_sedis",0.5
"Hyaloscyphaceae",0.934807256235828
"Hydnodontaceae",0.9234404536862
"Hypocreaceae",0.50795302512264
"Hypocreales_fam_Incertae_sedis",0.925390880957894
"Hyponectriaceae",0.135693039857228
"Kondoaceae",0
"Lasiosphaeriaceae",0.954779319863364
"Lentitheciaceae",0.962132804265609
"Leptosphaeriaceae",0.936672967863894
"Lindgomycetaceae",0.5
"Lophiostomataceae",0
"Magnaporthaceae",0.817148760330578
"Massarinaceae",0.848
"Melanommataceae",0.32
"Melanosporaceae",0.866017732035464
"Microascaceae",0.964640022675737
"Microascales_fam_Incertae_sedis",0.860377948479525
"Microdochiaceae",0.82116931636353
"Mortierellaceae",0.944787379972565
"Mucoraceae",0.8198793450158
"Mycosphaerellaceae",0.973168339759927
"Myrmecridiaceae",0.85
"Mytilinidiales_fam_Incertae_sedis",0.5
"Myxotrichaceae",0.9456
"Nectriaceae",0.970085759906314
"Nectriaceae.1",0.666666666666667
"Neodevriesiaceae",0.8
"Olpidiaceae",0.5
"Onygenaceae",0.88
"Onygenales_fam_Incertae_sedis",0.957834547040549
"Ophiocordycipitaceae",0.814814814814815
"Orbiliaceae",0.89143598615917
"Periconiaceae",0.673805324598975
"Pezizaceae",0.808864265927978
"Phaeosphaeriaceae",0.628592497742679
"Phomatosporaceae",0
"Pichiaceae",0.838842975206612
"Plectosphaerellaceae",0.949664066160175
"Pleosporaceae",0.970917391953847
"Pleosporales_fam_Incertae_sedis",0.72
"Pleurotheciaceae",0.71875
"Powellomycetaceae",0.75
"Psathyrellaceae",0.65440778799351
"Pseudeurotiaceae",0.960148809130757
"Pyronemataceae",0.5
"Pyxidiophoraceae",0.666666666666667
"Rhizophlyctidaceae",0.666666666666667
"Rhizopodaceae",0.804783568307734
"Rhynchogastremataceae",0.919720936213992
"Saccharomycetales_fam_Incertae_sedis",0.611111111111111
"Savoryellaceae",0.906666666666667
"Sclerotiniaceae",0.939092339297168
"Sebacinaceae",0.795918367346939
"Sordariaceae",0.840236686390533
"Sporidiobolaceae",0.8
"Sporormiaceae",0.855072151366803
"Stachybotryaceae",0.964231339594661
"Stictidaceae",0.430211905765138
"Sympoventuriaceae",0.87037037037037
"Testudinaceae",0.72
"Thelebolaceae",0
"Thelephoraceae",0.745276960384936
"Thyridariaceae",0.513125
"Torulaceae",0.105751994458677
"Trematosphaeriaceae",0.242407954850847
"Trichocomaceae",0.845679012345679
"Trichosporonaceae",0.740740740740741
"Tubeufiaceae",0.696471619548543
"unidentified",0.975151511226756
"Verrucariaceae",0
"Xylariales_fam_Incertae_sedis",0.5
