"","x"
"Acrospermales",0.745762711864407
"Agaricales",0.666878278592669
"Agaricomycetes_ord_Incertae_sedis",0.7
"Agaricostilbales",0
"Auriculariales",0.149985295559259
"Botryosphaeriales",0.88
"Branch06",0.5
"Capnodiales",0.973659843921584
"Chaetothyriales",0.938300964460299
"Diaporthales",0.816326530612245
"Dothideales",0.84375
"Dothideomycetes_ord_Incertae_sedis",0.94515306122449
"Erysiphales",0.86578449905482
"Eurotiales",0.818070063476879
"Glomerellales",0.949693201969582
"Helotiales",0.948593552274092
"Holtermanniales",0.5
"Hypocreales",0.971990659619162
"Magnaporthales",0.817148760330578
"Melanosporales",0.866017732035464
"Microascales",0.913981623175144
"Mortierellales",0.944787379972565
"Mucorales",0.886869340587619
"Myrmecridiales",0.85
"Mytilinidiales",0.5
"Olpidiales",0.5
"Onygenales",0.957958733309331
"Orbiliales",0.89143598615917
"Ostropales",0.430211905765138
"Pezizales",0.860499702558001
"Phomatosporales",0
"Pleosporales",0.973526621683172
"Pleurotheciales",0.71875
"Pyxidiophorales",0.666666666666667
"Rhizophlyctidales",0.666666666666667
"Saccharomycetales",0.844088010204082
"Savoryellales",0.906666666666667
"Sebacinales",0.795918367346939
"Sordariales",0.968065504513634
"Spizellomycetales",0.75
"Sporidiobolales",0.8
"Thelebolales",0.960145717060349
"Thelephorales",0.745276960384936
"Trechisporales",0.9234404536862
"Tremellales",0.961507757506764
"Trichosporonales",0.740740740740741
"Tubeufiales",0.696471619548543
"unidentified",0.975110257467715
"Venturiales",0.87037037037037
"Verrucariales",0
"Xylariales",0.885723646133794
